cast_id,cast_name
114,Samuel L. Jackson
62,Nicolas Cage
297,Gérard Depardieu
81,Robert De Niro
191,Bruce Willis
97,Morgan Freeman
139,Julianne Moore
287,Willem Dafoe
13813,Akshay Kumar
78,John Cusack
466,Liam Neeson
224,Alec Baldwin
52,Antonio Banderas
130,Dolph Lundgren
82,Johnny Depp
1070,Ben Kingsley
1398,Forest Whitaker
110,Anthony Hopkins
9648,James Franco
119,Nicole Kidman
518,Eric Roberts
360,Woody Harrelson
136,Ewan McGregor
160,Susan Sarandon
288,Matt Damon
265,Jackie Chan
13262,Shah Rukh Khan
349,John Goodman
1318,Stellan Skarsgård
410,John Leguizamo
361,Ed Harris
23145,Naomi Watts
170,Christian Slater
345,Danny Glover
120,Val Kilmer
8092,Ajay Devgn
104,Tom Hanks
106,Ethan Hawke
173,Kevin Spacey
580,Christopher Walken
420,Ray Liotta
436,John Malkovich
190,Robin Williams
464,Dermot Mulroney
42,Brad Pitt
2312,Salman Khan
811,Toni Collette
151,Keanu Reeves
118,Harvey Keitel
433,Michael Madsen
260,Michael Caine
508,Jean Reno
1341,Ben Stiller
188,Denzel Washington
50,Kevin Bacon
238,Juliette Binoche
502,Dennis Quaid
380,William Hurt
163,Kristin Scott Thomas
305,Robert Downey Jr.
92,Ralph Fiennes
155,Julia Roberts
258,Gabriel Byrne
520,Tim Roth
59,Pierce Brosnan
554,Meryl Streep
1776,Adrien Brody
17722,Clive Owen
458,Helen Mirren
187,Mark Wahlberg
730,Cate Blanchett
135,Matthew McConaughey
250,Jeff Bridges
182,John Travolta
556,Donald Sutherland
61,Steve Buscemi
2249,Owen Wilson
688,Kathy Bates
467,Sam Neill
1031,Isabelle Huppert
1107,Jet Li
751,Jim Broadbent
1823,Penélope Cruz
657,Amitabh Bachchan
473,Nick Nolte
348,Cuba Gooding Jr.
286,Vincent D'Onofrio
143,Gary Oldman
85,Cameron Diaz
75,Russell Crowe
14145,Andy Lau
371,Lance Henriksen
1317,Tom Sizemore
310,Robert Duvall
511,Ving Rhames
1702,Sanjay Dutt
840,Jeff Daniels
1339,Patrick Stewart
179,Charlize Theron
233,Kate Beckinsale
905,Adam Sandler
60,Sandra Bullock
145,Bill Paxton
3328,Tadanobu Asano
309,Kirsten Dunst
6815,Patricia Clarkson
125,Jude Law
144,Al Pacino
969,Heather Graham
377,Dennis Hopper
1053,Angelina Jolie
489,Ron Perlman
421,Christopher Lloyd
1522,Will Ferrell
186,Jean-Claude Van Damme
189,Sigourney Weaver
2131,Ryan Reynolds
196,Ben Affleck
93,Colin Firth
9185,Colin Farrell
336,Brendan Fraser
1071,Greg Kinnear
73,Kevin Costner
876,Stephen Dorff
115,Tommy Lee Jones
1240,Aidan Quinn
227,Christian Bale
1393,Rachel Weisz
177,Sharon Stone
180,Uma Thurman
296,Catherine Deneuve
23401,Tom Wilkinson
501,Bill Pullman
596,Elijah Wood
2188,Jason Statham
98,Richard Gere
557,Kiefer Sutherland
232,Sean Bean
245,Helena Bonham Carter
12588,Scarlett Johansson
651,Daniel Auteuil
107,Salma Hayek
46,Jennifer Aniston
1063,Catherine Keener
1363,Stanley Tucci
10209,Paul Giamatti
1224,Christopher Plummer
54,Drew Barrymore
1202,Guy Pearce
449,Malcolm McDowell
566,Billy Bob Thornton
379,John Hurt
593,Kate Winslet
544,Wesley Snipes
5573,Daniel Brühl
339,Andy Garcia
1364,John Turturro
2910,Mathieu Amalric
19606,Paul Rudd
19619,Mark Ruffalo
27260,Priyanka Chopra
568,Marisa Tomei
530,Liev Schreiber
359,Daryl Hannah
70,George Clooney
76,Tom Cruise
1082,Anthony LaPaglia
1168,Viggo Mortensen
1943,Thomas Jane
2248,Luke Wilson
58,Matthew Broderick
465,Eddie Murphy
576,Vince Vaughn
23590,Anthony Chau-Sang Wong
1256,Miranda Richardson
20562,Sunil Shetty
149,Natalie Portman
271,Glenn Close
101,Whoopi Goldberg
990,Marcia Gay Harden
600,Billy Zane
13277,Anupam Kher
594,Reese Witherspoon
293,Danny DeVito
2190,Mary Steenburgen
480,Gwyneth Paltrow
725,Halle Berry
460,Alfred Molina
5798,Gerard Butler
373,Philip Seymour Hoffman
152,Christina Ricci
7739,Rosario Dawson
1108,Laura Linney
14810,Justin Long
459,Matthew Modine
215,Sean Astin
12360,Hugh Jackman
763,Ellen Burstyn
158,Winona Ryder
17182,Bill Nighy
7193,Marion Cotillard
84,Leonardo DiCaprio
2143,Sam Rockwell
16707,Rani Mukerji
329,Laurence Fishburne
213,David Arquette
4672,Jack Black
415,Juliette Lewis
1275,Geoffrey Rush
486,Sean Penn
382,Jeremy Irons
284,Joan Cusack
538,Martin Sheen
150,Parker Posey
1753,Maria Bello
71,Jennifer Connelly
1706,Kareena Kapoor
86,Michael Douglas
146,Michelle Pfeiffer
154,Tim Robbins
27027,Diane Kruger
124,Diane Lane
18919,Paresh Rawal
768,James Caan
49,Dan Aykroyd
1483,Vincent Cassel
23736,Simon Yam
356,Gene Hackman
411,Jennifer Jason Leigh
6674,Stephen Chow
16351,Radha Mitchell
1419,Steve Zahn
14893,Josh Lucas
123,Kevin Kline
21587,Tilda Swinton
432,William H. Macy
194,Renée Zellweger
338,Edward Furlong
1362,Danny Trejo
1389,Emily Watson
13260,Saif Ali Khan
383,Michael Ironside
12618,Dwayne Johnson
896,Aaron Eckhart
10606,Olivier Gourmet
268,Don Cheadle
1128,Joe Mantegna
18680,Om Puri
13295,Sandrine Kiberlain
100,Mel Gibson
1218,Joaquin Phoenix
941,Charlotte Gainsbourg
1245,Stephen Rea
57,Kenneth Branagh
102,Jeff Goldblum
7645,Jean-Pierre Darroussin
381,Timothy Hutton
166,Charlie Sheen
90,Cary Elwes
138,Demi Moore
365,Rutger Hauer
395,Michael Keaton
1640,Brian Cox
6087,Steve Carell
108,Anne Heche
140,Bill Murray
648,Armand Assante
225,Stephen Baldwin
521,Mickey Rourke
620,Tim Allen
133,Steve Martin
980,Carla Gugino
193,James Woods
1345,Peter Stormare
563,Emma Thompson
10372,Brendan Gleeson
175,Sylvester Stallone
1023,Bob Hoskins
13610,Louis Koo
20445,Naseeruddin Shah
13252,Aamir Khan
116,Milla Jovovich
500,Jonathan Pryce
506,John C. Reilly
5775,George W. Bush
10987,Jake Gyllenhaal
1291,Campbell Scott
575,Casper Van Dien
1195,Michael Paré
8811,Jesse Eisenberg
1099,Denis Leary
23491,Patrick Wilson
23441,Michelle Williams
1078,Kris Kristofferson
403,Christopher Lambert
7269,Daniel Craig
9992,Gael García Bernal
8636,André Dussollier
562,David Thewlis
9063,Chris Evans
3541,Abhishek Bachchan
25122,Michael Fassbender
43,Woody Allen
2330,Elizabeth Banks
164,Steven Seagal
67,Jim Carrey
14654,Vincent Lindon
5531,Valeria Bruni Tedeschi
710,Annette Bening
2025,James Marsden
172,Mira Sorvino
1455,Moritz Bleibtreu
13177,Anna Kendrick
1306,Sam Shepard
117,Ashley Judd
9179,Vera Farmiga
394,Diane Keaton
401,Elias Koteas
1089,Jessica Lange
522,Kurt Russell
8838,Idris Elba
14488,Tony Chiu-Wai Leung
5842,Rose Byrne
553,David Strathairn
561,Lili Taylor
1660,Anne Hathaway
753,Josh Brolin
448,Frances McDormand
434,Virginia Madsen
429,Andie MacDowell
579,Jon Voight
20000,Peter Sarsgaard
1242,Charlotte Rampling
1222,Oliver Platt
10557,Joseph Gordon-Levitt
2071,Brittany Murphy
930,William Forsythe
920,Sean Patrick Flanery
21294,Kristen Stewart
2497,Amy Adams
237,Michael Biehn
171,Will Smith
235,Tom Berenger
298,Laura Dern
263,Lacey Chabert
299,Matt Dillon
685,Jason Bateman
20465,Michael Shannon
1261,Chris Rock
18420,Benoît Poelvoorde
15678,James McAvoy
94,Harrison Ford
157,Meg Ryan
778,Robert Carlyle
1955,Vinnie Jones
9150,Dakota Fanning
597,Robin Wright
28007,John Abraham
273,Rachael Leigh Cook
1217,Lou Diamond Phillips
829,Billy Crudup
2040,Ian McKellen
1198,Robert Patrick
47,Patricia Arquette
1716,Jessica Alba
1090,Frank Langella
8751,Joel Edgerton
27866,Emily Blunt
854,Bruce Davison
10580,Ryan Gosling
18801,Aishwarya Rai Bachchan
512,Giovanni Ribisi
678,Javier Bardem
4226,Kristen Bell
2178,Amy Smart
14489,Tony Ka Fai Leung
7082,Bradley Cooper
1835,Vin Diesel
13727,Thomas Kretschmann
12520,Richard Jenkins
831,Ice Cube
385,Famke Janssen
1532,Michael Gambon
7647,Ricardo Darín
1581,Stephen Lang
109,Dustin Hoffman
351,Hugh Grant
2063,Carrie-Anne Moss
17347,Michael Nyqvist
31014,Chloë Grace Moretz
417,Matthew Lillard
1762,Jessica Biel
1003,Katherine Heigl
19402,Seth Rogen
10730,Bruce Greenwood
18259,Elliot Page
19728,Jérémie Renier
15149,Benoît Magimel
1001,John Heard
2381,Diego Abatantuono
516,Alan Rickman
8605,Albert Dupontel
16630,Emily Mortimer
127,Jennifer Lopez
230,Angela Bassett
13912,Shia LaBeouf
24989,Rachel McAdams
21787,Audrey Tautou
14441,Melissa Leo
1756,Wes Bentley
1176,Edward Norton
866,Judi Dench
16645,William R. Moses
996,Josh Hartnett
1286,Til Schweiger
14589,Nikolaj Lie Kaas
22989,Paul Walker
23486,Lambert Wilson
825,Peter Coyote
8618,Romain Duris
1332,Nick Stahl
23793,Donnie Yen
212,Alan Arkin
1876,Jamie Foxx
13259,Irrfan Khan
14147,Ching Wan Lau
641,Tom Arnold
23529,Ray Winstone
1167,David Morse
23651,Sam Worthington
21395,Mark Strong
8916,Ethan Embry
7040,Paddy Considine
16634,Samantha Morton
19461,Michael Rooker
482,Sarah Jessica Parker
6022,Guillaume Canet
1669,Hrithik Roshan
12927,Anil Kapoor
259,Emmanuelle Béart
1875,Ben Foster
1881,Jennifer Garner
478,Julia Ormond
354,Melanie Griffith
11264,Tom Hardy
7060,Steve Coogan
20629,Qi Shu
6165,Isabelle Carré
13497,Keira Knightley
8821,Chiwetel Ejiofor
868,Bruce Dern
147,Ryan Phillippe
705,Monica Bellucci
532,Tom Selleck
9172,Anna Faris
779,David Carradine
1253,James Remar
20509,Michael Sheen
1094,Martin Lawrence
1754,Gil Bellows
1238,Randy Quaid
161,Arnold Schwarzenegger
23735,Kôji Yakusho
23791,Anton Yelchin
3977,Mischa Barton
15260,Jena Malone
64,Neve Campbell
1933,Kate Hudson
1420,Catherine Zeta-Jones
1425,Max von Sydow
168,Elisabeth Shue
55,Kim Basinger
5060,Kate Bosworth
334,Vivica A. Fox
548,James Spader
347,Valeria Golino
28231,Kristen Wiig
7083,Chris Cooper
1092,Queen Latifah
505,Vanessa Redgrave
971,Richard E. Grant
29666,Channing Tatum
7700,Hope Davis
1764,Selma Blair
7720,Viola Davis
5810,Margherita Buy
9698,Martin Freeman
21980,Ulrich Thomsen
11478,Lena Headey
23681,Daniel Wu
8334,Martin Donovan
1016,Ciarán Hinds
769,Dean Cain
319,Rupert Everett
1237,Vincent Perez
19823,Maaya Sakamoto
4411,Charles Berling
112,Helen Hunt
2080,Alessandro Nivola
1255,Jonathan Rhys Meyers
23162,Hugo Weaving
637,Asia Argento
636,Christina Applegate
304,Brad Dourif
929,Robert Forster
16208,Mads Mikkelsen
438,Sophie Marceau
14902,Fabrice Luchini
7145,Clovis Cornillac
181,Jennifer Tilly
8542,Jean Dujardin
2342,Tabu
2161,Seann William Scott
30539,Jessica Chastain
1348,Kristy Swanson
28678,Zac Efron
945,James Gandolfini
26414,Michelle Monaghan
25714,Elle Fanning
28102,Olivia Wilde
915,Joseph Fiennes
20379,Rade Serbedzija
816,Jeffrey Combs
574,Deborah Kara Unger
4223,Jamie Bell
867,Brian Dennehy
21881,Sylvie Testud
11357,Kevin Hart
11773,Emile Hirsch
981,Lukas Haas
3756,Eric Bana
12911,Takeshi Kaneshiro
970,Kelsey Grammer
724,Corbin Bernsen
25768,Anthony Mackie
9670,Peter Franzén
25840,Abigail Breslin
695,Nathalie Baye
860,Benicio Del Toro
7775,Cécile de France
19836,Zoe Saldana
2310,Jackie Shroff
295,Julie Delpy
23444,Olivia Williams
214,Rosanna Arquette
1294,Kyra Sedgwick
2197,Hilary Swank
23977,Roschdy Zem
457,Penelope Ann Miller
4811,Orlando Bloom
21004,Song Kang-Ho
8059,Zooey Deschanel
270,Yun-Fat Chow
99,Gina Gershon
28663,Shahid Kapoor
2008,Robert Loggia
79,Claire Danes
1322,Maggie Smith
376,Ian Holm
378,Holly Hunter
38,Li Gong
18558,Prakash Raj
504,Robert Redford
1227,Kevin Pollak
1327,Kevin Sorbo
1328,Timothy Spall
1137,Dylan McDermott
331,Bridget Fonda
16774,Cillian Murphy
23997,Ziyi Zhang
2651,Malin Akerman
32457,Imogen Poots
31725,Jonah Hill
307,Richard Dreyfuss
16051,Kad Merad
1298,Rufus Sewell
7344,Marie-Josée Croze
17319,Masako Nozawa
613,Casey Affleck
667,Kathy Baker
2387,Hiam Abbass
7162,Kevin Corrigan
18774,Daniel Radcliffe
731,Brenda Blethyn
35189,Deepika Padukone
22754,Karin Viard
10732,Judy Greer
10775,Rachel Griffiths
1930,Terrence Howard
30098,Chris Pine
6270,Sergio Castellitto
27245,Katrina Kaif
790,Jim Caviezel
122,Nastassja Kinski
10039,Louis Garrel
19280,Emma Roberts
4026,Bipasha Basu
201,Joan Allen
9940,Jacques Gamblin
9896,Zach Galifianakis
228,Ellen Barkin
7027,Billy Connolly
23546,Ray Wise
372,Natasha Henstridge
17113,Thandie Newton
375,Lauren Holly
1069,Udo Kier
13880,Aaron Kwok
1243,Michael Rapaport
22190,Luis Tosar
1284,Rob Schneider
1110,John Lithgow
598,Michelle Yeoh
1012,Werner Herzog
514,Denise Richards
8210,Peter Dinklage
1033,Anjelica Huston
519,Isabella Rossellini
524,Rene Russo
481,Mary-Louise Parker
8101,Emmanuelle Devos
2192,Julia Stiles
2126,Tara Reid
19384,Michelle Rodriguez
1524,Jason Flemyng
1493,Christian Clavier
1191,Chazz Palminteri
851,Judy Davis
13267,Akshaye Khanna
6446,Chen Chang
1490,Thomas Haden Church
572,Robin Tunney
6857,François Cluzet
2222,Gabrielle Union
11978,Danny Huston
2102,Piper Perabo
800,Maggie Cheung
8539,Josh Duhamel
14728,Ron Livingston
5724,Edward Burns
18679,Amrish Puri
27396,Josh Hutcherson
1663,Clifton Collins Jr.
719,Patrick Bergin
498,Kelly Preston
1929,Djimon Hounsou
551,Eric Stoltz
1139,Christopher McDonald
77,Jamie Lee Curtis
87,David Duchovny
1977,Mila Kunis
889,Charles S. Dutton
27043,Oscar Isaac
95,Jodie Foster
12194,Rhys Ifans
25509,Amanda Seyfried
19796,Ludivine Sagnier
29234,Emraan Hashmi
17122,Man-Tat Ng
22355,Ulrich Tukur
340,Janeane Garofalo
390,James Earl Jones
5119,Raoul Bova
1288,Annabella Sciorra
1011,Barbara Hershey
22100,Tony Todd
614,Danny Aiello
418,Bai Ling
426,Rob Lowe
2298,William Sadler
20259,Dougray Scott
5200,Jesse Bradford
27956,Emma Stone
995,Ian Hart
15059,Kelly Macdonald
27462,Riccardo Scamarcio
1079,Lisa Kudrow
21651,Cary-Hiroyuki Tagawa
2345,Nana Patekar
15214,Sergey Makovetskiy
23609,Evan Rachel Wood
22713,Carlo Verdone
14559,Thierry Lhermitte
15325,Predrag 'Miki' Manojlovic
2640,Ajith Kumar
934,Matt Frewer
1937,Sammo Kam-Bo Hung
25170,Hwang Jung-min
14400,Gilles Lellouche
1279,John Savage
19119,John Rhys-Davies
10735,Pascal Greggory
1124,Tobey Maguire
16538,Laura Morante
18675,Dominic Purcell
1679,Adam Scott
748,Beau Bridges
1836,Taye Diggs
16023,Ben Mendelsohn
13255,Arshad Warsi
16024,Eva Mendes
1960,Stacy Keach
15041,Eric Mabius
15323,Taryn Manning
33821,Greta Gerwig
24974,Jae-yeong Jeong
2253,Alfre Woodard
11974,Nicholas Hoult
34064,Jung-woo Ha
1216,Mekhi Phifer
2344,Urmila Matondkar
15022,Sergi López
1193,Anna Paquin
1192,Joe Pantoliano
17382,Frances O'Connor
3984,Jay Baruchel
2182,Leelee Sobieski
2175,Jeremy Sisto
906,Jeff Fahey
799,Joan Chen
1013,Jennifer Love Hewitt
2124,Norman Reedus
18091,Michael Peña
12593,Johnny Knoxville
33858,Teresa Palmer
1173,Connie Nielsen
17061,Tim Blake Nelson
18313,Rosamund Pike
23170,Mark Webber
1995,Jason Lee
927,Claire Forlani
27065,Benedict Cumberbatch
11128,Rebecca Hall
17914,Molly Parker
1730,Will Arnett
217,Pernilla August
226,William Baldwin
156,Mimi Rogers
430,Shirley MacLaine
707,Jim Belushi
29934,Robert Pattinson
20716,J.K. Simmons
184,Liv Tyler
474,Jeremy Northam
497,Pete Postlethwaite
510,Burt Reynolds
344,Crispin Glover
8031,Sunny Deol
4495,Paul Bettany
647,Edward Asner
539,Gary Sinise
8167,August Diehl
35746,Jennifer Lawrence
5982,Bruce Campbell
28444,Tyler Perry
8845,Karra Elejalde
308,Minnie Driver
559,Patrick Swayze
697,Jennifer Beals
558,Dominique Swain
277,James Cromwell
2461,Stefano Accorsi
4996,Kristin Booth
19967,Rodrigo Santoro
11615,Karoline Herfurth
15556,Valerio Mastandrea
37626,Alicia Vikander
4963,Sandrine Bonnaire
1280,Devon Sawa
16751,Lochlyn Munro
1297,Chloë Sevigny
23969,Kevin Zegers
2853,Joaquim de Almeida
24010,Xun Zhou
1304,Craig Sheffer
7667,Keith David
841,Blythe Danner
22311,Eric Tsang
1350,Jeffrey Tambor
16721,Peter Mullan
1359,Rip Torn
11458,Dennis Haysbert
424,Nia Long
14933,Diego Luna
1230,Teri Polo
1097,James Le Gros
973,Seth Green
610,Joey Lauren Adams
606,Victoria Abril
599,Sean Young
31858,Amber Heard
13566,Manisha Koirala
12676,Felicity Jones
1045,Irène Jacob
552,Madeleine Stowe
25588,Sienna Miller
20173,Matthias Schoenaerts
12437,Kevin James
21720,Mayumi Tanaka
1100,Virginie Ledoyen
8189,Stephen Dillane
14175,Mélanie Laurent
25403,Ryô Kase
20968,Kyung-gu Sol
14302,Lee Byung-Hun
1118,Melanie Lynskey
493,Jada Pinkett Smith
484,Jason Patric
468,Judd Nelson
8527,Hilary Duff
9761,Catherine Frot
7187,Nikolaj Coster-Waldau
9850,Benno Fürmann
3067,Michael Angarano
2424,Simon Abkarian
316,Robert Englund
952,Sarah Michelle Gellar
142,Jack Nicholson
23360,Robert Wieckiewicz
6658,Noam Chomsky
169,Alicia Silverstone
18413,Denis Podalydès
88,Clint Eastwood
23323,Michael Jai White
18064,Simon Pegg
2108,Jeremy Piven
10170,Elio Germano
33281,Olivia Thirlby
6748,Andrzej Chyra
1978,Ashton Kutcher
23135,Emma Watson
141,Mike Myers
1994,Heath Ledger
6353,Michael Cera
18273,Michel Piccoli
10827,Ioan Gruffudd
96,Michael J. Fox
1591,Mena Suvari
1923,Katie Holmes
6683,Erika Christensen
2237,Marlon Wayans
19060,Jeremy Renner
10581,Luke Goss
7146,Abbie Cornish
1696,Jason Alexander
7121,John Corbett
239,Thora Birch
21919,Mélanie Thierry
2301,Preity Zinta
11101,Barbara Hale
5517,Agnes Bruckner
13974,Mohanlal
1781,Saffron Burrows
20271,Tom Everett Scott
8659,Danny Dyer
20228,Matthias Schweighöfer
91,Sherilyn Fenn
515,Joely Richardson
1763,Jason Biggs
1623,Michel Blanc
44,Gillian Anderson
20320,Emmanuelle Seigner
961,Scott Glenn
1998,Delroy Lindo
34115,Mia Wasikowska
1117,Kelly Lynch
581,J.T. Walsh
3514,Sabine Azéma
1601,Alexander Skarsgård
20948,Brittany Snow
23104,Kerry Washington
1073,Takeshi Kitano
72,Sean Connery
537,Ally Sheedy
33287,Xavier Samuel
14093,Alexandra Maria Lara
565,Lea Thompson
30318,Cam Gigandet
19028,Kelly Reilly
547,Sissy Spacek
1867,Frances Fisher
527,Greta Scacchi
1944,Allison Janney
66,Tia Carrere
2001,Lucy Liu
266,Stockard Channing
8632,Eliza Dushku
32633,Vidya Balan
29150,Suriya
16515,Mandy Moore
355,Steve Guttenberg
1509,Madhuri Dixit
211,Fanny Ardant
218,Hank Azaria
2280,Karisma Kapoor
942,Peter Gallagher
6922,Gary Cole
16977,Nassar
6684,Hayden Christensen
33543,Rooney Mara
290,Lolita Davidovich
1399,Dianne Wiest
17273,Eduardo Noriega
1411,Alicia Witt
17295,Noomi Rapace
1444,Josiane Balasko
280,Billy Crystal
7281,Bryan Cranston
2186,Scott Speedman
16011,Selton Mello
2022,Leslie Mann
1209,Rosie Perez
1157,Jay Mohr
14780,Lindsay Lohan
1179,Catherine O'Hara
22665,Alexa PenaVega
23666,Jeffrey Wright
1187,Miranda Otto
453,Colm Meaney
1205,Amanda Peet
1208,Barry Pepper
6584,Nick Cheung
7907,Jan Decleir
15297,Costas Mandylor
2145,Ray Romano
2153,Keri Russell
2159,Jason Schwartzman
1271,Gena Rowlands
15708,Stephen McHattie
1277,Julian Sands
24576,Juno Temple
6653,Choi Min-sik
6379,Alain Chabat
10508,Matthew Goode
11982,Carice van Houten
2,Lauren Bacall
9480,Brendan Fletcher
4198,Bérénice Bejo
27968,Riteish Deshmukh
895,Christopher Eccleston
26429,Ed Helms
926,Peter Fonda
9733,Anna Friel
690,Patrick Bauchau
4515,Yasiin Bey
4044,Giuseppe Battiston
747,Benjamin Bratt
10988,Maggie Gyllenhaal
729,Karen Black
11447,Megumi Hayashibara
698,Ned Beatty
20704,Sarah Silverman
4083,Adam Beach
1487,Leslie Cheung
6863,Kim Coates
282,Tim Curry
1486,Maury Chaykin
20166,John Schneider
1392,Steven Weber
9676,Laura Fraser
26956,Eva Green
17889,Kip Pardue
6799,Jason Clarke
3359,Shawn Ashmore
1088,Nathan Lane
9519,Marina Foïs
14114,Brie Larson
23406,Fred Willard
7307,Wendy Crewson
17313,Tuva Novotny
908,Dennis Farina
262,Kim Cattrall
3415,Yvan Attal
20068,Leonardo Sbaraglia
19677,James Russo
23622,Bokeem Woodbine
17680,Ren Osugi
25602,Aaron Taylor-Johnson
11304,Danielle Harris
1463,Élodie Bouchez
528,Johnathon Schaech
11313,Jared Harris
19599,Sergio Rubini
35842,Léa Seydoux
1418,Michael York
541,Tom Skerritt
910,Mia Farrow
7479,Javier Cámara
4414,François Berléand
25154,Jonathan Bennett
4984,Mark Boone Junior
24625,Sally Hawkins
15624,Carmen Maura
1257,Natasha Richardson
8029,Bobby Deol
2983,Anthony Anderson
33803,Ken'ichi Matsuyama
8033,Julie Depardieu
8186,Garret Dillahunt
491,Joe Pesci
865,Patrick Dempsey
28817,Olga Kurylenko
1210,Elizabeth Perkins
475,Chris O'Donnell
443,Samantha Mathis
1201,David Paymer
471,Leslie Nielsen
456,Bette Midler
11703,Freddie Highmore
29062,Selena Gomez
24000,Wei Zhao
12283,Katharine Isabelle
917,Albert Finney
834,Henry Czerny
835,Mark Dacascos
318,Emilio Estevez
30803,Nawazuddin Siddiqui
22320,Nicholas Tse
