director_id,director_name
1,Ingmar Bergman
2,Federico Fellini
3,Alfred Hitchcock
4,Stanley Kubrick
5,Akira Kurosawa
6,François Truffaut
7,Orson Welles
8,Aleksey Korenev
9,Gérard Pirès
10,Woody Allen
11,Jennifer Aniston
12,Dan Aykroyd
13,Kevin Bacon
14,Antonio Banderas
15,Drew Barrymore
16,Luc Besson
17,Kenneth Branagh
18,Matthew Broderick
19,Steve Buscemi
20,Nicolas Cage
21,James Cameron
22,John Carpenter
23,George Clooney
24,Kevin Costner
25,Wes Craven
26,Russell Crowe
27,Robert De Niro
28,Johnny Depp
29,David Duchovny
30,Clint Eastwood
31,Ralph Fiennes
32,Jodie Foster
33,Morgan Freeman
34,Mel Gibson
35,Whoopi Goldberg
36,Tom Hanks
37,Ethan Hawke
38,Anne Heche
39,Dustin Hoffman
40,Anthony Hopkins
41,Ron Howard
42,Helen Hunt
43,Tommy Lee Jones
44,Ashley Judd
45,Jude Law
46,George Lucas
47,Dolph Lundgren
48,David Lynch
49,Madonna
50,Ewan McGregor
51,Demi Moore
52,Bill Murray
53,Mike Myers
54,Jack Nicholson
55,Gary Oldman
56,Al Pacino
57,Bill Paxton
58,Ryan Phillippe
59,Natalie Portman
60,Keanu Reeves
61,Tim Robbins
62,Meg Ryan
63,Arnold Schwarzenegger
64,Martin Scorsese
65,Steven Seagal
66,Kevin Spacey
67,Steven Spielberg
68,Sylvester Stallone
69,Oliver Stone
70,Quentin Tarantino
71,Jean-Claude Van Damme
72,Denzel Washington
73,John Woo
74,Edward D. Wood Jr.
75,Ben Affleck
76,Alan Alda
77,Pedro Almodóvar
78,Robert Altman
79,Jean-Jacques Annaud
80,Gabrielle Anwar
81,David Arquette
82,Rosanna Arquette
83,Sean Astin
84,Richard Attenborough
85,Pernilla August
86,Alec Baldwin
87,Angela Bassett
88,Michael Biehn
89,Mel Brooks
90,Tim Burton
91,Jackie Chan
92,Don Cheadle
93,Cher
94,Francis Ford Coppola
95,Roger Corman
96,Michael Crichton
97,David Cronenberg
98,Billy Crystal
99,Brian De Palma
100,Danny DeVito
101,Julie Delpy
102,Gérard Depardieu
103,Laura Dern
104,Matt Dillon
105,Robert Duvall
106,Anthony Edwards
107,Atom Egoyan
108,Roland Emmerich
109,Robert Englund
110,Emilio Estevez
111,Sally Field
112,David Fincher
113,John Ford
114,Jonathan Frakes
115,Stephen Fry
116,Andy Garcia
117,Terry Gilliam
118,Crispin Glover
119,Jean-Luc Godard
120,Valeria Golino
121,Peter Greenaway
