director_id,director_name
0,John Lasseter
1,Joe Johnston
2,Howard Deutch
3,Forest Whitaker
4,Charles Shyer
5,Michael Mann
6,Sydney Pollack
7,Peter Hewitt
8,Peter Hyams
9,Martin Campbell
10,Rob Reiner
11,Mel Brooks
12,Simon Wells
13,Oliver Stone
14,Renny Harlin
15,Martin Scorsese
16,Ang Lee
17,Allison Anders
18,Alexandre Rockwell
19,Robert Rodriguez
20,Quentin Tarantino
21,Steve Oedekerk
22,Joseph Ruben
23,Barry Sonnenfeld
24,Jon Amiel
25,Richard Donner
26,Victor Salva
27,Mike Figgis
28,Oliver Parker
29,Lesli Linka Glatter
30,Roger Michell
31,Jean-Pierre Jeunet
32,Marc Caro
33,Zhang Yimou
34,John N. Smith
35,Terry Gilliam
36,Jean-Jacques Annaud
37,Chris Noonan
38,Christopher Hampton
39,Tim Robbins
40,Stephen Low
41,Andy Tennant
42,Amy Heckerling
43,Darrell James Roodt
44,Richard Loncraine
45,Albert Hughes
46,Allen Hughes
47,Michael Hoffman
48,Paul W.S. Anderson
49,Gus Van Sant
50,Jocelyn Moorhouse
51,David Fincher
52,Mike Gabriel
53,Eric Goldberg
54,Patricia Rozema
55,Bryan Singer
56,Richard W. Munchkin
57,Woody Allen
58,Gianni Amelio
59,Holly Goldberg Sloan
60,Ulu Grosbard
61,Robert Tinnell
62,Jodie Foster
63,Michael Radford
64,Robert Lepage
65,Frank Oz
66,John Schlesinger
67,Stephen Herek
68,Paris Barclay
69,Bill Bennett
70,Jason Bloom
71,Farhad Mann
72,James Foley
73,Josiane Balasko
74,F. Gary Gray
75,Andrew Sipes
76,Noah Baumbach
77,Claude Lelouch
78,Michael Goldenberg
79,Steve Miner
80,Christian Duguay
81,Susanne Ofteringer
82,Sean Penn
83,Brian Gibson
84,Jafar Panahi
85,Gary Fleder
86,Marleen Gorris
87,Tim Reid
88,Henry Jaglom
89,Philip Haas
90,Ridley Scott
91,Ken Kwapis
92,Penelope Spheeris
93,John Badham
94,John Duigan
95,Stephen Frears
96,Wes Craven
97,Ted Demme
98,John Woo
99,Kenneth Branagh
100,Mathieu Kassovitz
101,Nick Broomfield
102,Harold Becker
103,Wes Anderson
104,Nick Castle
105,John Dahl
106,Dennis Dugan
107,Clint Eastwood
108,Doris Dörrie
109,Brian Henson
110,Robert Leacock
111,James Bruce
112,Mel Gibson
113,Stanley Tong
114,Barbet Schroeder
115,Mort Ransen
116,Étienne Chatiliez
117,Jon Blair
118,Benjamin Ross
119,Eric Schaeffer
120,Andrew Davis
121,Charles T. Kanganis
122,Reginald Hudlin
123,Wong Kar-wai
124,Giuseppe Tornatore
125,David O. Russell
126,Peter MacDonald
127,Moufida Tlatli
128,Michel Negroponte
129,Bryan Gordon
130,Rebecca Miller
131,Michael Lindsay-Hogg
132,William Friedkin
133,Ángel Muñiz
134,Craig Baldwin
135,David S. Ward
136,Mark Rappaport
137,Dirk Shafer
138,Terence Davies
139,Sandip Ray
140,Jon Avnet
141,Mike Nichols
142,Jakov Sedlar
143,Edward Burns
144,Michael Bay
145,Christopher Cain
146,Scott Kalvert
147,Mike Newell
148,Hal Hartley
149,Ron Howard
150,Michael Caton-Jones
151,Abel Ferrara
152,Joel Schumacher
153,Luis Buñuel
154,John Boorman
155,Paul Auster
156,Wayne Wang
157,Michael Moore
