movie_id,director_id
862,0
8844,1
15602,2
31357,3
11862,4
949,5
11860,6
45325,7
9091,8
710,9
9087,10
12110,11
21032,12
10858,13
1408,14
524,15
4584,16
5,17
5,18
5,19
5,20
9273,21
11517,22
8012,23
1710,24
9691,25
12665,26
451,27
16420,28
9263,29
17015,30
902,31
902,32
37557,33
9909,34
63,35
78802,36
9598,37
47018,38
687,39
139405,40
33689,41
9603,42
34615,43
31174,44
11443,45
11443,46
35196,47
9312,48
577,49
11861,50
807,51
10530,52
10530,53
8391,54
629,55
117164,56
11448,57
49133,58
26441,59
97406,60
124057,61
9089,62
11010,63
99040,64
11359,65
17182,66
2054,67
10607,68
19760,69
9536,70
11525,71
40628,72
4482,73
10634,74
755,19
11859,75
28387,76
48750,77
20927,78
36929,79
9102,80
124626,81
27526,82
9623,83
46785,84
400,85
880,86
146599,87
188588,88
8447,89
10534,90
17414,91
13997,92
2086,93
61548,94
9095,95
12158,96
9283,97
9208,98
40154,99
406,100
45549,48
63076,101
11062,102
13685,103
47475,104
2045,105
9614,106
688,107
11907,108
10874,109
89333,110
96357,111
197,112
103,15
33542,113
43566,114
71754,115
43612,116
51352,117
16934,118
10324,119
78406,120
55731,121
32119,34
11066,122
11104,123
37975,124
2074,125
27793,126
44284,127
290157,128
110972,129
32622,130
73067,131
11863,132
55475,133
124636,134
9101,135
123360,136
5757,137
39428,138
124639,139
9302,140
11000,141
249882,142
16388,143
9737,144
30765,145
10474,146
22279,147
30157,148
568,149
11780,150
34996,151
414,152
649,153
1873,154
5894,155
5894,156
1775,157
8839,158
20649,159
10329,160
8963,161
26564,162
8068,19
8512,163
1572,164
13552,165
259209,166
6520,167
9073,168
10428,169
17447,170
9886,171
9482,172
19326,173
9344,174
9071,175
8973,176
15730,177
47608,178
2293,179
9070,180
68274,181
48787,182
34574,183
1642,184
11472,185
36196,186
11980,187
58372,188
32646,189
10533,190
10802,191
10149,156
10149,155
18402,192
9348,193
139408,194
281,195
5967,196
79593,197
47939,198
36834,199
9090,200
3512,201
52856,202
77350,203
9560,204
9804,205
31611,206
65796,207
49805,27
26258,208
50797,209
19155,210
76,211
11017,212
37141,213
9382,214
6715,215
18256,216
22625,217
2292,179
1909,218
8984,219
61813,220
4954,93
62488,221
10531,222
11929,223
8467,224
8467,225
10451,16
20156,226
18395,227
522,228
397,229
10525,230
27985,231
15789,232
15789,233
27303,234
21183,235
10954,236
47867,237
43475,238
72031,239
14275,240
1024,241
17207,242
13701,243
14819,244
32631,245
11777,246
628,247
87729,248
18713,249
6280,250
9061,251
37108,252
6071,114
11,253
9587,254
19101,255
49980,256
17961,257
18183,204
4476,258
11008,104
47504,259
32325,17
43742,260
28313,261
11318,262
3036,99
40490,263
24070,264
8986,265
10510,266
17402,267
38722,268
8438,269
11593,270
1945,271
39310,272
109560,273
56428,274
63105,275
131957,276
